Elite Dangerous ; 6342.8
Batman: Arkham City GOTY ; 399.42
Emily is Away ; 12.49
Besiege ; 444.31
Call of Duty: Black Ops II ; 219.89
Papers Please ; 278.43
American Truck Simulator ; 3752.1
Alien: Isolation ; 219.21
Slime Rancher ; 1501.14
Fistful of Frags ; 197.09
Metro: Last Light Redux ; 521.31
Hitman: Absolution ; 405.99
Battlefield: Bad Company� 2 ; 318.08
Alan Wake ; 124.5
Risk of Rain ; 259.31
Depth ; 177.34
Transistor ; 64.34
ORION: Prelude ; 19.61
Verdun ; 218.55
Hotline Miami 2: Wrong Number ; 242.33
Life is Strange: Before the Storm ; 214.84
Max Payne 3 ; 175.36
Mortal Kombat X ; 1040.41
Mirror ; 375.2
The Wolf Among Us ; 41.25
Cry of Fear ; 77.97
Totally Accurate Battlegrounds ; 142.91
Magicka ; 109.82
Watch_Dogs 2 ; 934.7
SpeedRunners ; 194.48
Awesomenauts ; 253.44
Batman�: Arkham Origins ; 362.97
Batman: Arkham Asylum GOTY Edition ; 239.88
Hellblade: Senua's Sacrifice ; 158.19
Amnesia: The Dark Descent ; 87.85
APB Reloaded ; 548.07
Super Hexagon ; 25.15
INSIDE ; 93.3
Call of Duty: World at War ; 704.41
The Plan ; 0.87
Creativerse ; 634.53
Shadow Warrior ; 69.59
A Story About My Uncle ; 22.03
Mirror's Edge ; 71.83
Prey ; 950.38
HuniePop ; 261.85
Fallout 3 - Game of the Year Edition ; 377.29
Arma 2: Operation Arrowhead ; 728.85
DiRT Rally ; 546.76
Alien Swarm ; 48.14
Miscreated ; 759.26
The Talos Principle ; 389.4
Spintires� ; 330.41
ICEY ; 24.1
Blood and Bacon ; 45.6
Duck Game ; 393.2
Magic Duels ; 621.81
SOMA ; 101.6
Trine 2 ; 94.26
NEKOPARA Vol. 1 ; 58.48
BLOCKADE 3D ; 192.69
Five Nights at Freddy's ; 31.5
Spiral Knights ; 221.78
Valiant Hearts: The Great War� / Soldats Inconnus : M�moires de la Grande Guerre� ; 34.34
ABZU ; 27.38
Stranded Deep ; 293.14
Serious Sam 3: BFE ; 145.39
Hurtworld ; 518.31
TEKKEN 7 ; 2782.27
Assetto Corsa ; 1964.13
Scrap Mechanic ; 1083.73
Watch_Dogs ; 190.11
The Expendabros ; 62.53
Dust: An Elysian Tail ; 34.62
Ryse: Son of Rome ; 90.04
Hero Siege ; 466.58
Call of Duty: Ghosts ; 96.29
Assassin's Creed II ; 547.86
SUPERHOT ; 87.49
DmC Devil MayCry ; 136.33
Layers of Fear ; 101.44
Day of Infamy ; 375.73
Tales from the Borderlands ; 40.07
Skullgirls 2nd Encore ; 127.05
Call of Duty: Black Ops ; 417.37
One Finger Death Punch ; 50.85
Crypt of the NecroDancer ; 201.93
L.A. Noire ; 178.6
A Hat in Time ; 371.67
Warhammer: End Times - Vermintide ; 127.45
Half-Life 2: Episode Two ; 166.16
Iron Snout ; 35.94
Rogue Legacy ; 149.71
Age of Empires� III (2007) ; 2137.44
Infestation: The New Z ; 856.81
METAL GEAR RISING: REVENGEANCE ; 111.02
